alpha,round,truncated,gain,phi_min,phi_max
0.5,48,0,0.004821600771456103,-0.017697685631629705,0.014108003857280615
0.5,49,0,-0.004821600771456103,-0.01620781099324975,0.013264223722275788
0.5,50,0,-0.0077145612343297865,-0.01861861137897781,0.009532304725168748
1.0,1,0,0.3264223722275796,-0.01709016393442624,0.04086306653809063
1.0,2,0,0.03519768563162973,-0.035819672131147555,0.03727338476374158
1.0,3,0,0.07039537126325945,-0.020694310511089695,0.03173818707810995
1.0,4,0,0.004821600771456103,-0.023387174541947924,0.030135004821600773
1.0,5,0,-0.018322082931533257,-0.02657907425265189,0.028669238187078134
1.0,6,0,-0.007232401157184154,-0.03182256509161041,0.028512536162005792
1.0,7,0,-0.012536162005785889,-0.029221311475409857,0.02863066538090646
1.0,8,0,-0.02121504339440694,-0.03905737704918032,0.032485535197685614
1.0,9,0,-0.04001928640308583,-0.03943828351012534,0.023825940212150426
1.0,10,0,-0.045323047251687565,-0.03595467695274833,0.028305207328833175
1.0,11,0,-0.047251687560269984,-0.031060752169720318,0.023102700096432036
1.0,12,0,0.03760848601735778,-0.03969382835101255,0.022437319189971074
1.0,13,0,-0.04869816779170688,-0.03664416586306653,0.023006268081002902
1.0,14,0,-0.06075216972034714,-0.040706364513018296,0.02164416586306654
1.0,15,0,-0.06894889103182256,-0.040185631629701124,0.02529652844744459
1.0,16,1,0.0019286403085824189,0.0,0.0
1.0,17,0,-0.02121504339440694,-0.03622227579556413,0.022538572806171647
1.0,18,0,0.02507232401157189,-0.033666827386692445,0.025359209257473474
1.0,19,0,-0.0665380906460945,-0.03993008678881385,0.019963837994214077
1.0,20,0,0.024108003857280624,-0.025940212150433937,0.018502892960462865
1.0,21,0,-0.026518804243008676,-0.03241562198649954,0.019664898746383785
1.0,22,0,-0.013018322082931522,-0.02956605593056892,0.020482160077145636
1.0,23,0,-0.06509161041465772,-0.03788331726133077,0.019132111861137908
